country 1-5m 5-10m 10-50m 50-100m 100-500m 500+m
Usa 19466541 3231692 1640742 103669 35740 1726
China 5581697 366432 209559 20013 11411 1282
Japan 3165519 140317 54908 3373 1411 88
Uk 2668703 125108 51358 2787 1278 110
France 2589495 139852 62351 3237 1314 85
Germany 2410992 171431 90909 6052 3354 318
Canada 2092416 127941 65417 3472 1912 123
Australia 2006783 112068 53385 2947 1576 109
Italy 1294761 77428 36670 2574 1253 103
Korea 1183711 70014 32306 2450 1319 117
Switzerland 1019655 85758 43353 2115 987 92
Netherlands 1075071 49686 22384 1100 471 28
Spain 1041701 60516 27689 1509 666 51
Taiwan 787232 53381 25718 1874 912 93
India 695685 58644 37103 3024 1750 210
HongKong 564792 40421 23591 1790 1139 127
Sweden 539163 43055 25035 1866 1019 76
Belgium 562186 20107 6281 271 107 16
Denmark 354025 20034 9883 571 288 27
Russia 299687 29361 19878 2134 1488 253
NewZealand 317475 21560 8000 316 115 12
Mexico 291091 17596 8756 557 271 27
SaudiArabia 280585 23530 8891 208 64 3
Singapore 263895 21028 12110 974 570 73
Austria 247902 14971 7336 497 275 33
Brazil 232969 17847 12884 1238 749 95
Norway 211648 14595 8966 494 298 22
Israel 178591 14918 8866 652 529 67
Indonesia 166916 13985 8973 740 432 57
Uae 156195 12313 7553 435 247 37
Ireland 161421 9497 4515 247 96 15
Portugal 150208 6347 2345 57 41 8
Iran 131139 10676 4559 126 97 41
Finland 90370 6488 3477 292 132 27
Poland 91039 5836 2980 166 92 16
Egypt 77936 5899 3022 220 108 21
SouthAfrica 78584 4837 2507 151 86 10
Thailand 71377 5971 4382 446 249 41
Greece 73355 5620 2288 89 30 1
Philippines 68063 6055 3907 370 197 34
Turkey 63163 5889 3379 366 136 34
Czechia 59386 5068 3040 276 142 30
Chile 58884 4084 2289 177 92 20
Ukraine 44523 4456 3069 322 153 44
Vietnam 43652 3218 1846 113 75 13
Nigeria 36955 2664 1539 76 65 18
Colombia 34982 2445 1394 54 51 17
Romania 33720 2436 480 28 21 5
Bangladesh 28931 1125 400 39 43 21
Pakistan 18532 885 348 38 45 25
